PRICING_DATE,NAV_ADJUSTED,RISK_FREE_RATE,NAV,BENCH_LEVEL,FLOWS
2019-12-31,178.36,168.7755,178.36,282.314453,-3546069.2769190613
2020-01-31,172.5,169.0386,172.5,279.196028,-36192106.89204044
2020-02-28,153.92,169.2774,153.92,256.645425,-34052466.35854829
2020-03-31,125.64,169.5099,125.64,221.997442,-33261418.711356163
2020-04-30,144.99,169.7069,144.99,245.778931,-22896605.196020216
2020-05-29,149.47,169.8412,149.47,256.468107,3326832.553532562
2020-06-30,154.16,169.9129,154.16,264.66290300000003,-11999258.972587766
2020-07-31,176.29,169.9407,176.29,278.660139,-4395907.027256711
2020-08-31,189.63,169.9616,189.63,295.715563,4894984.960257711
2020-09-30,182.81,169.9829,182.81,286.180744,-14790283.566727769
2020-10-30,177.66,169.9956,177.66,279.224093,-18375756.662548408
2020-11-30,202.47,170.0083,202.47,313.642071,84562142.83984792
2020-12-31,220.93,170.02,220.93,328.204305,64537178.597064674
2021-01-29,223.78,170.0322,223.78,326.711617,16792923.004392453
2021-02-26,236.96,170.0437,236.96,334.279386,73212634.16098836
2021-03-31,246.5,170.0569,246.5,343.207768,145493118.54698303
2021-04-30,263.96,170.0696,263.96,358.213679,268204316.0542839
2021-05-28,263.26,170.0806,263.26,363.622135,180493569.35805437
2021-06-30,250.55,170.0918,250.55,368.5821,61452348.94644276
2021-07-30,251.19,170.101,251.19,371.121922,108658096.85633388
2021-08-31,256.92,170.1103,256.92,380.410852,14835124.751800245
2021-09-30,247.32,170.1202,247.32,364.696174,61207658.99838597
2021-10-29,244.75,170.1305,244.75,383.311551,36002533.349849194
2021-11-30,247.53,170.1404,247.53,374.081235,12067681.406996781
2021-12-31,265.33,170.1502,265.33,389.04467,-3105624.99337568
2022-01-31,250.1,170.1604,250.1,369.937752,37091779.33619455
2022-02-28,248.14,170.1781,248.14,360.38328,-14959956.303464562
2022-03-31,247.41,170.230299999,247.41,368.188827,54261244.17477635
2022-04-29,249.73,170.322,249.73,338.718318,47604984.795098744
2022-05-31,244.83,170.468999999,244.83,339.114707,28078372.191979494
2022-06-30,211.28,170.650599999,211.28,310.528572,-41166411.40699506
2022-07-29,227.9,170.901999999,227.9,332.213566,-32815823.43352648
2022-08-31,220.88,171.222199999,220.88,319.983157,-22590155.72937091
2022-09-30,192.87,171.598999999,192.87,289.351393,-48757706.790551595
2022-10-31,205.36,172.0603,205.36,306.812893,-24358333.44478047
2022-11-30,217.03,172.595699999,217.03,330.610342,7139181.31176171
